,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Koulamoutou,-1.1303,12.4736,75.7,93,99,0.76,GA,1619886628
358,Socorro,31.6546,-106.3033,64.4,51,1,6.91,US,1619886442
359,Qom,34.6401,50.8764,74.66,35,72,12.55,IR,1619886628
360,Puerto del Rosario,28.5004,-13.8627,69.8,60,20,19.57,ES,1619886384
361,Makakilo City,21.3469,-158.0858,75.2,94,75,11.86,US,1619886472
362,Dolores,-36.3132,-57.6792,73.0,47,14,11.59,AR,1619886629
363,Asahikawa,43.7678,142.3703,38.08,86,100,1.81,JP,1619886533
364,Vanimo,-2.6741,141.3028,77.47,88,100,3.47,PG,1619886629
365,Nelson Bay,-32.7167,152.15,57.0,100,31,8.84,AU,1619886630
366,São Miguel do Araguaia,-13.275,-50.1628,85.84,50,100,8.81,BR,1619886630
367,Igarka,67.4667,86.5833,30.11,95,100,7.76,RU,1619886630
368,Yarmouth,41.7057,-70.2286,57.2,47,1,13.8,US,1619886631
369,Ewo,-0.8725,14.8206,75.9,84,100,4.5,CG,1619886631
370,Port Washington,40.8257,-73.6982,57.99,38,20,18.41,US,1619886486
371,Bonwapitse,-23.0766,26.7037,66.02,68,14,12.95,BW,1619886631
372,Tomatlán,19.9333,-105.25,89.78,31,41,6.26,MX,1619886632
373,Cairns,-16.9167,145.7667,73.4,83,90,10.36,AU,1619886632
374,Lerwick,60.1545,-1.1494,42.8,70,90,3.44,GB,1619886632
375,Eldorado,-23.7869,-54.2836,83.64,32,31,7.07,BR,1619886633
376,San José de Río Tinto,14.9333,-85.7,87.8,48,40,2.3,HN,1619886633
377,Grand Gaube,-20.0064,57.6608,75.99,88,11,3.0,MU,1619886633
378,Cuamba,-14.8031,36.5372,69.8,92,15,2.57,MZ,1619886634
379,Tuatapere,-46.1333,167.6833,46.0,87,1,7.0,NZ,1619886634
380,Cockburn Town,21.4612,-71.1419,82.4,61,40,8.05,TC,1619886634
381,Pandamatenga,-18.5278,25.627,73.51,50,99,2.37,BW,1619886635
382,Ishinomaki,38.4167,141.3,51.62,91,99,10.51,JP,1619886635
383,Belaya Gora,68.5333,146.4167,5.47,99,72,4.25,RU,1619886635
384,Cartagena,10.3997,-75.5144,87.8,70,40,9.22,CO,1619886636
385,Caicó,-6.4583,-37.0978,95.34,28,50,13.22,BR,1619886636
386,Wangqing,43.3218,129.7634,42.35,75,100,3.51,CN,1619886636
387,Poya,-21.35,165.15,69.84,86,81,4.23,NC,1619886637
388,Kudahuvadhoo,2.6708,72.8944,83.93,65,18,3.11,MV,1619886637
389,Diffa,13.3154,12.6113,97.95,6,54,8.3,NE,1619886638
390,Znamenskoye,57.1281,73.8282,37.2,62,25,4.14,RU,1619886638
391,Nabire,-3.3667,135.4833,75.7,91,99,3.06,ID,1619886638
392,Constantine,36.365,6.6147,59.0,77,75,16.11,DZ,1619886486
393,Zlobin,45.2924,14.6541,64.99,77,75,5.75,HR,1619886639
394,Yeppoon,-23.1333,150.7333,66.2,82,44,10.36,AU,1619886639
395,Te Anau,-45.4167,167.7167,39.09,87,14,1.25,NZ,1619886639
396,Várzea da Palma,-17.5981,-44.7308,82.6,39,81,3.87,BR,1619886640
397,Mandurah,-32.55,115.7,57.99,72,4,7.7,AU,1619886640
398,Marzuq,14.4,46.4667,72.03,72,100,9.4,YE,1619886641
399,Nhulunbuy,-12.2333,136.7667,78.8,83,90,5.75,AU,1619886641
400,Kailua,21.4022,-157.7394,75.2,78,75,12.66,US,1619886641
401,Westport,41.1415,-73.3579,57.99,41,1,21.85,US,1619886642
402,Tucuruí,-3.7661,-49.6725,82.81,77,95,3.13,BR,1619886642
403,Hay River,60.8156,-115.7999,24.8,93,100,9.22,CA,1619886347
404,Karratha,-20.7377,116.8463,80.29,59,43,6.06,AU,1619886642
405,Pisco,-13.7,-76.2167,70.0,78,6,10.36,PE,1619886469
406,Druzhba,52.0428,33.9453,52.29,78,95,6.62,UA,1619886643
407,Gummidipundi,13.4,80.15,84.2,74,40,6.91,IN,1619886643
408,Vanavara,60.34,102.2797,29.5,96,14,4.29,RU,1619886644
409,Wajima,37.4,136.9,52.97,85,29,29.53,JP,1619886644
410,Kurumkan,54.3,110.3,37.33,77,100,3.49,RU,1619886645
411,Kenai,60.5544,-151.2583,33.01,86,1,6.91,US,1619886645
412,Malatya Province,38.5,38.0,73.4,21,20,12.66,TR,1619886645
413,Crixás,-14.5489,-49.9692,84.45,53,100,6.33,BR,1619886646
414,La Tuque,47.4334,-72.7824,44.6,23,32,13.8,CA,1619886646
415,Wuda,39.4994,106.7117,64.81,29,76,13.73,CN,1619886646
416,Mt. Pleasant,32.7941,-79.8626,73.99,40,1,9.22,US,1619886647
417,Batemans Bay,-35.7167,150.1833,57.99,96,100,1.01,AU,1619886647
418,Nadvoitsy,63.8667,34.3167,32.81,65,95,18.07,RU,1619886647
419,Talakan,50.3167,130.3667,43.12,70,78,3.94,RU,1619886648
420,Maceió,-9.6658,-35.7353,82.4,83,75,9.22,BR,1619886648
421,Avera,33.194,-82.5271,75.2,33,1,5.75,US,1619886572
422,Vila Velha,-20.3297,-40.2925,81.0,61,75,13.8,BR,1619886648
423,Baturaja,-4.1333,104.1667,73.81,98,95,2.46,ID,1619886649
424,Forsytheganj,52.6333,29.7333,49.53,78,100,5.23,BY,1619886649
425,Iranshahr,27.2025,60.6848,66.2,88,90,4.61,IR,1619886649
426,Mount Gambier,-37.8333,140.7667,66.2,45,40,14.97,AU,1619886650
427,Bac Lieu,9.285,105.7244,84.18,74,73,10.04,VN,1619886650
428,Merauke,-8.4667,140.3333,76.57,90,42,10.2,ID,1619886650
429,Orël-Izumrud,43.4583,39.9244,59.0,88,20,6.71,RU,1619886651
430,Galle,6.0367,80.217,81.18,79,97,1.48,LK,1619886607
431,Chui,-33.6971,-53.4616,73.92,53,2,5.73,UY,1619886651
432,Ouadda,8.0777,22.4007,81.93,37,100,3.13,CF,1619886651
433,Kupang,-10.1667,123.5833,76.73,80,20,9.71,ID,1619886652
434,Petauke,-14.2426,31.3253,70.48,74,98,6.26,ZM,1619886652
435,Chunskiy,56.0815,99.6342,35.11,92,99,1.16,RU,1619886653
436,Sola,-13.8833,167.55,78.93,76,97,12.37,VU,1619886653
437,Mīrābād,30.4362,61.8383,72.0,56,88,20.89,AF,1619886653
438,Caxito,-8.5785,13.6643,80.6,83,40,10.36,AO,1619886654
439,Marawi,7.9986,124.2928,77.0,87,81,5.01,PH,1619886654
440,Monticello,45.3055,-93.7941,77.0,29,1,7.31,US,1619886654
441,Newtownards,54.5924,-5.6909,50.0,57,20,4.61,GB,1619886655
442,Hobyo,5.3505,48.5268,85.37,64,60,12.91,SO,1619886655
443,Suntar,62.1444,117.6319,34.07,98,100,2.57,RU,1619886655
444,Provincia di Campobasso,41.6333,14.5833,70.0,94,91,13.0,IT,1619886654
445,Astoria,46.1879,-123.8313,53.6,76,90,8.05,US,1619886609
446,Sines Municipality,37.9562,-8.8698,62.01,54,25,8.01,PT,1619886524
447,Bilibino,68.0546,166.4372,-5.84,89,43,4.65,RU,1619886656
448,Mirny,62.5353,113.9611,31.6,99,100,2.66,RU,1619886656
449,Mehamn,71.0357,27.8492,32.74,92,93,7.38,NO,1619886657
450,Mariehamn,60.0973,19.9348,41.0,36,0,8.05,AX,1619886657
451,Ghanzi,-21.5667,21.7833,68.41,24,0,7.72,BW,1619886657
452,Sept-Îles,50.2001,-66.3821,55.4,47,95,2.3,CA,1619886362
453,Kanniyākumāri,8.0833,77.5667,83.82,75,76,5.82,IN,1619886658
454,Simpang,-1.2667,104.0833,74.68,96,48,0.81,ID,1619886658
455,Terekli-Mekteb,44.1671,45.8698,67.51,62,100,7.7,RU,1619886658
456,Hammerfest,70.6634,23.6821,32.0,80,75,8.05,NO,1619886615
457,Labuhan,-6.8844,112.2051,79.68,85,94,7.96,ID,1619886659
458,Carballo,43.213,-8.691,55.99,56,75,8.01,ES,1619886659
459,Ust'-Kut,56.7938,105.7672,31.28,95,100,2.08,RU,1619886660
460,Ventspils,57.3894,21.5606,44.6,76,0,9.22,LV,1619886660
461,Pangnirtung,66.1451,-65.7125,42.8,61,75,14.97,CA,1619886660
462,Darnah,32.767,22.6367,80.44,35,24,1.48,LY,1619886661
463,Mlimba,-8.8,35.8167,72.39,94,87,3.15,TZ,1619886661
464,Codrington,-38.2667,141.9667,59.2,73,89,6.38,AU,1619886661
465,Banda Aceh,5.5577,95.3222,80.96,78,100,8.32,ID,1619886660
466,Gornopravdinsk,60.05,69.9,41.56,48,100,11.18,RU,1619886662
467,Artyom,40.4723,50.333,58.64,83,100,11.83,AZ,1619886663
468,Aksarka,66.5606,67.7975,26.6,80,95,16.24,RU,1619886663
469,Bambanglipuro,-7.95,110.2833,77.49,86,51,5.35,ID,1619886659
470,Siderno,38.2779,16.302,78.8,44,100,11.5,IT,1619886664
471,Kovdor,67.5662,30.4758,29.52,71,81,3.65,RU,1619886664
472,Maragogi,-9.0122,-35.2225,81.79,73,100,12.08,BR,1619886664
473,Srednekolymsk,67.45,153.6833,5.56,96,12,5.68,RU,1619886665
474,Shache,38.4167,77.2406,74.48,14,83,3.2,CN,1619886665
475,Kumul,42.8,93.45,68.07,34,13,23.26,CN,1619886665
476,Amazar,53.858,120.875,41.54,80,87,1.63,RU,1619886666
477,Najrān,17.4924,44.1277,84.2,17,40,6.91,SA,1619886666
478,Pathein,16.7833,94.7333,80.2,76,51,4.27,MM,1619886667
479,Sankt Florian,48.2057,14.3784,64.4,59,75,10.36,AT,1619886667
480,Bāntva,21.4864,70.0689,84.63,63,32,9.4,IN,1619886667
481,Vila Franca do Campo,37.7167,-25.4333,60.8,82,75,11.5,PT,1619886668
482,Enid,36.3956,-97.8784,71.01,77,90,13.8,US,1619886668
483,Port Hedland,-20.3167,118.5667,71.6,94,1,2.3,AU,1619886668
484,Guilin,25.2819,110.2864,71.6,88,0,2.24,CN,1619886669
485,Saquena,-4.6667,-73.5167,83.89,67,34,0.89,PE,1619886669
486,Iquitos,-3.7481,-73.2472,73.4,94,90,3.44,PE,1619886669
487,Griffith,41.5284,-87.4237,63.0,39,1,24.16,US,1619886553
488,Levice,48.2156,18.6071,71.01,58,65,1.99,SK,1619886670
489,Gijang,35.2442,129.2139,53.6,50,20,9.22,KR,1619886670
490,Mil'kovo,54.7167,158.6167,33.62,93,100,0.74,RU,1619886671
491,Kununurra,-15.7667,128.7333,66.2,88,0,2.3,AU,1619886671
492,Virginia Beach,36.8529,-75.978,62.6,29,20,18.41,US,1619886516
493,Zhigalovo,54.8097,105.1578,30.92,98,100,1.74,RU,1619886671
494,Poykovskiy,61.2333,73.3333,33.8,86,0,2.24,RU,1619886612
495,Pendleton,45.6721,-118.7886,57.0,94,90,4.61,US,1619886672
496,Prainha,-1.8,-53.48,79.11,78,84,5.32,BR,1619886672
497,Yar-Sale,66.8333,70.8333,17.11,91,56,9.4,RU,1619886673
498,Gogrial,8.5332,28.1004,89.82,30,93,4.52,SS,1619886673
499,Myitkyina,25.3833,97.4,69.57,92,53,2.19,MM,1619886673
500,Pismo Beach,35.1428,-120.6413,62.01,76,75,4.61,US,1619886674
501,Telhāra,21.0269,76.8389,90.61,26,98,6.29,IN,1619886674
502,Hamada,34.8833,132.0833,55.0,10,48,3.0,JP,1619886674
503,Salta,-24.7859,-65.4117,70.0,56,0,3.44,AR,1619886675
504,Baykit,61.67,96.37,31.91,96,97,3.94,RU,1619886466
505,Iskateley,67.6803,53.1512,32.63,97,100,14.88,RU,1619886675
506,Egvekinot,66.3167,-179.1667,10.0,87,100,5.1,RU,1619886484
507,Khipro,25.8285,69.3772,90.82,27,100,9.62,PK,1619886676
508,Paragominas,-2.9667,-47.4833,82.6,74,100,0.54,BR,1619886676
509,Sistranda,63.7256,8.834,42.8,65,20,12.66,NO,1619886676
510,Kozachi Laheri,46.7037,32.9776,66.0,77,0,6.71,UA,1619886677
511,Tutóia,-2.7619,-42.2744,78.8,89,75,5.75,BR,1619886677
512,Mokhsogollokh,61.4681,128.9203,30.0,98,100,2.68,RU,1619886677
513,Santa Maria,-29.6842,-53.8069,80.6,44,0,4.61,BR,1619886678
514,Ancud,-41.8697,-73.8203,57.0,82,75,8.05,CL,1619886678
515,Verkhnevilyuysk,63.4453,120.3167,33.75,99,100,4.68,RU,1619886679
516,Corvallis,44.5646,-123.262,51.01,100,90,6.91,US,1619886604
517,Gdynia,54.5189,18.5319,48.0,53,0,9.22,PL,1619886556
518,Lesozavodsk,45.4794,133.4244,43.77,57,4,10.33,RU,1619886679
519,Muros,42.7762,-9.0603,61.0,41,86,14.43,ES,1619886679
520,Colares,38.7992,-9.4469,60.8,55,40,14.97,PT,1619886680
521,Cap Malheureux,-19.9842,57.6142,75.99,88,10,3.0,MU,1619886680
522,Elizabeth City,36.2946,-76.2511,64.0,29,1,13.8,US,1619886680
523,Biak,-0.9131,122.8766,76.62,86,91,3.71,ID,1619886681
524,Erenhot,43.6475,111.9767,46.06,21,55,17.74,CN,1619886681
525,General Roca,-39.0333,-67.5833,59.0,72,90,9.22,AR,1619886681
526,Bubaque,11.2833,-15.8333,79.63,69,27,17.47,GW,1619886682
527,Umluj,25.0213,37.2685,84.29,48,0,4.23,SA,1619886682
528,Viedma,-40.8135,-62.9967,74.16,32,98,14.79,AR,1619886682
529,Trincomalee,8.5711,81.2335,82.9,77,100,9.86,LK,1619886683
530,Palora,-1.7,-77.9333,69.8,83,75,5.75,EC,1619886678
531,Sulangan,11.1373,123.7228,82.9,73,11,12.62,PH,1619886683
532,Fort Nelson,58.8053,-122.7002,44.6,57,75,3.44,CA,1619886600
533,Orizona,-17.0314,-48.2958,76.21,55,100,11.77,BR,1619886684
534,Norman Wells,65.282,-126.8329,32.0,69,20,3.44,CA,1619886534
535,Palana,59.1167,159.9667,24.58,85,36,5.84,RU,1619886684
536,Irbeyskoye,55.6428,95.4522,39.81,81,98,4.52,RU,1619886685
537,Pahrump,36.2083,-115.9839,82.99,15,83,8.99,US,1619886685
538,Bonavista,48.6499,-53.1147,51.8,76,57,13.8,CA,1619886685
539,Ankpa,7.3706,7.6253,88.66,51,87,6.58,NG,1619886686
540,Manono,-7.3,27.4167,72.79,91,98,1.45,CD,1619886686
541,Pingdu,36.7844,119.9464,44.6,70,0,4.47,CN,1619886686
542,Dauphin,51.1494,-100.0502,66.2,32,20,12.66,CA,1619886687
543,Khandyga,62.6667,135.6,29.39,99,100,2.59,RU,1619886687
544,Riyadh,24.6877,46.7219,93.2,12,0,12.66,SA,1619886399
545,Rio Grande,-32.035,-52.0986,78.8,53,0,2.3,BR,1619886687
546,Okha,53.5739,142.9478,30.0,93,100,10.71,RU,1619886688
547,Khani,41.9563,42.9566,66.2,52,0,9.22,GE,1619886688
548,Kozhva,65.1073,57.0459,36.77,96,100,11.45,RU,1619886689
549,Manicoré,-5.8092,-61.3003,86.0,74,75,3.44,BR,1619886689
550,Poum,-20.2333,164.0167,75.33,76,95,12.88,NC,1619886689
551,Guarapari,-20.6667,-40.4975,81.0,61,75,13.8,BR,1619886690
552,Sangar,63.9242,127.4739,36.18,94,100,7.94,RU,1619886690
553,Diré,12.2833,-10.9667,107.4,15,37,4.74,ML,1619886541
554,Lishu,43.3047,124.3278,46.81,58,82,6.06,CN,1619886690
555,Vilhena,-12.7406,-60.1458,80.6,69,75,6.91,BR,1619886491
556,Ozuluama de Mascareñas,21.6667,-97.85,86.99,55,93,4.36,MX,1619886691
557,Shalyhyne,51.5717,34.1217,53.94,73,90,4.94,UA,1619886691
558,Batagay-Alyta,67.8006,130.4114,18.19,95,99,4.47,RU,1619886692
559,Acajutla,13.5928,-89.8275,80.01,78,20,5.75,SV,1619886692
560,Piúma,-20.8378,-40.7219,75.36,68,95,9.33,BR,1619886603
561,Marsh Harbour,26.5412,-77.0636,80.04,70,63,8.77,BS,1619886692
562,Kefamenanu,-9.4467,124.4781,71.28,85,62,4.54,ID,1619886693
563,Keningau,5.3378,116.1602,77.0,100,20,2.3,MY,1619886693
564,Doha,25.2867,51.5333,87.01,65,0,4.61,QA,1619886693
565,Teya,60.3778,92.6267,35.01,91,97,9.22,RU,1619886694
566,Sarangani,5.4033,125.4636,83.05,73,100,17.74,PH,1619886694
567,Peace River,56.2501,-117.286,46.4,61,90,12.66,CA,1619886694
568,Porto Walter,-8.2686,-72.7439,91.09,43,9,1.48,BR,1619886695
569,Puerto Gaitán,4.3133,-72.0816,82.6,65,68,5.03,CO,1619886695
570,Aginskoye,51.1,114.53,46.26,47,100,10.98,RU,1619886695
571,Río Gallegos,-51.6226,-69.2181,41.0,81,0,4.61,AR,1619886696
572,Kohima,25.6667,94.1167,64.67,70,86,3.6,IN,1619886696
573,Yangi Marg`ilon,40.4272,71.7189,68.0,64,75,9.22,UZ,1619886696
574,Russell,32.3502,-85.1999,75.2,35,1,5.75,US,1619886547
575,Chu,43.5983,73.7614,57.34,42,100,16.4,KZ,1619886697
576,Coahuayana Viejo,18.7333,-103.6833,77.0,61,20,4.79,MX,1619886581
577,Charter Township of Clinton,42.587,-82.9199,57.0,43,75,13.8,US,1619886475
578,Ukiah,39.1502,-123.2078,64.4,63,1,12.66,US,1619886411
579,Leh,34.1667,77.5833,42.17,44,34,3.04,IN,1619886697
580,Pirgos,35.1167,25.7178,81.0,61,0,1.7,GR,1619886698
